project_name,version,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
apache-storm,1.1.1,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,309,309,308,62,18,0,309,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1178,1025
apache-storm,1.1.2,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,311,311,310,62,18,0,311,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1187,1025
apache-storm,1.1.3,188,550,228,372,12513,162,152,147,29,13,0,12,13,7,313,313,312,62,18,0,313,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025
apache-storm,1.1.4,188,550,228,375,12637,163,153,148,29,13,0,12,13,7,313,313,312,62,18,0,313,0,148,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025
apache-storm,1.2.0,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025
apache-storm,1.2.1,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025
apache-storm,1.2.2,188,550,228,372,12475,162,152,147,29,13,0,12,13,7,317,317,316,62,18,0,317,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1213,1025
apache-storm,1.2.3,74,574,26,375,12597,163,153,148,29,14,0,12,13,7,317,317,316,63,18,0,317,0,148,39518,220,48,48,42,71,570,613,392,90,333,7,45,593,0,1213,1025
apache-storm,2.0.0,171,800,28,973,13174,194,112,189,111,15,4,14,13,7,250,250,248,107,35,0,250,0,478,43417,310,109,77,69,101,476,732,857,130,733,7,50,658,43,1169,1025
apache-storm,2.1.0,176,800,28,1001,13174,197,112,189,114,15,4,14,13,7,251,251,249,107,35,0,251,0,477,43417,310,111,78,70,101,480,766,873,130,748,7,50,658,43,1165,1025
apache-cassandra,1.1.1,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,309,309,308,62,18,0,309,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1178,1025
apache-cassandra,1.1.2,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,311,311,310,62,18,0,311,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1187,1025
apache-cassandra,1.1.3,188,550,228,372,12513,162,152,147,29,13,0,12,13,7,313,313,312,62,18,0,313,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025
apache-cassandra,1.1.4,188,550,228,375,12637,163,153,148,29,13,0,12,13,7,313,313,312,62,18,0,313,0,148,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025
apache-cassandra,1.2.0,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025
apache-cassandra,1.2.1,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025
apache-cassandra,1.2.2,188,550,228,372,12475,162,152,147,29,13,0,12,13,7,317,317,316,62,18,0,317,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1213,1025
apache-cassandra,1.2.3,74,574,26,375,12597,163,153,148,29,14,0,12,13,7,317,317,316,63,18,0,317,0,148,39518,220,48,48,42,71,570,613,392,90,333,7,45,593,0,1213,1025
apache-cassandra,2.0.0,171,800,28,973,13174,194,112,189,111,15,4,14,13,7,250,250,248,107,35,0,250,0,478,43417,310,109,77,69,101,476,732,857,130,733,7,50,658,43,1169,1025
apache-cassandra,2.1.0,176,800,28,1001,13174,197,112,189,114,15,4,14,13,7,251,251,249,107,35,0,251,0,477,43417,310,111,78,70,101,480,766,873,130,748,7,50,658,43,1165,1025
apache-cassandra,3.11.4,187,977,228,782,31306,294,294,286,69,63,10,18,8,16,183,68,180,71,17,0,70,0,1085,45543,434,128,77,58,219,1720,5270,615,338,364,7,51,593,69,1144,1025
apache-cassandra,3.2.1,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025
apache-cassandra,3.2,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025
apache-cassandra,3.3,187,977,228,688,21529,242,227,239,56,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,320,7,45,593,35,1056,1025
apache-cassandra,3.4,187,977,228,712,23098,257,238,239,59,50,4,15,9,12,161,68,159,71,15,0,70,0,975,45543,434,115,77,58,219,1716,5188,615,356,322,7,45,593,35,1076,1025
apache-cassandra,3.5,187,977,228,717,24132,261,238,239,59,50,4,15,9,12,163,68,159,71,15,0,70,0,978,45543,434,115,77,58,219,1716,5204,615,356,322,7,45,593,37,1077,1025
apache-cassandra,3.6,187,977,228,732,25195,267,243,239,62,51,10,15,9,12,167,68,163,71,17,0,70,0,978,45543,434,117,77,58,219,1878,5204,615,380,336,7,45,593,50,1098,1025
apache-cassandra,3.7,187,977,228,732,25195,267,245,241,62,51,10,16,9,12,168,68,164,71,17,0,70,0,978,45543,434,117,77,58,219,1893,5204,615,381,336,7,45,593,50,1098,1025
apache-cassandra,3.8,187,977,228,733,25195,267,253,250,61,58,10,17,8,12,174,68,170,71,17,0,70,0,978,45543,434,119,77,58,219,1893,5221,615,381,337,6,45,593,50,1099,1025
apache-cassandra,3.9,187,977,228,733,25195,267,253,250,61,58,10,17,8,12,174,68,170,71,17,0,70,0,978,45543,434,119,77,58,219,1893,5221,615,381,337,6,45,593,50,1099,1025
airbnb-lottie-android,1.1.1,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,309,309,308,62,18,0,309,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1178,1025
airbnb-lottie-android,1.1.2,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,311,311,310,62,18,0,311,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1187,1025
airbnb-lottie-android,1.1.3,188,550,228,372,12513,162,152,147,29,13,0,12,13,7,313,313,312,62,18,0,313,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025
airbnb-lottie-android,1.1.4,188,550,228,375,12637,163,153,148,29,13,0,12,13,7,313,313,312,62,18,0,313,0,148,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025
airbnb-lottie-android,1.2.0,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025
airbnb-lottie-android,1.2.1,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025
airbnb-lottie-android,1.2.2,188,550,228,372,12475,162,152,147,29,13,0,12,13,7,317,317,316,62,18,0,317,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1213,1025
airbnb-lottie-android,1.2.3,74,574,26,375,12597,163,153,148,29,14,0,12,13,7,317,317,316,63,18,0,317,0,148,39518,220,48,48,42,71,570,613,392,90,333,7,45,593,0,1213,1025
airbnb-lottie-android,2.0.0,171,800,28,973,13174,194,112,189,111,15,4,14,13,7,250,250,248,107,35,0,250,0,478,43417,310,109,77,69,101,476,732,857,130,733,7,50,658,43,1169,1025
airbnb-lottie-android,2.1.0,176,800,28,1001,13174,197,112,189,114,15,4,14,13,7,251,251,249,107,35,0,251,0,477,43417,310,111,78,70,101,480,766,873,130,748,7,50,658,43,1165,1025
airbnb-lottie-android,3.11.4,187,977,228,782,31306,294,294,286,69,63,10,18,8,16,183,68,180,71,17,0,70,0,1085,45543,434,128,77,58,219,1720,5270,615,338,364,7,51,593,69,1144,1025
airbnb-lottie-android,3.2.1,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025
airbnb-lottie-android,3.2,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025
airbnb-lottie-android,3.3,187,977,228,688,21529,242,227,239,56,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,320,7,45,593,35,1056,1025
